id,question,A,B,C,D,answer
101,Thành phố lớn nhất Việt Nam?,Hà Nội,HCM,Đà Nẵng,Cần Thơ,B
102,Số Fibonacci thứ 5?,3,5,8,13,B
103,UDP là giao thức gì?,Không kết nối,Có kết nối,Đảm bảo thứ tự,Mã hóa end-to-end,A
104,IP v4 dùng bao nhiêu bit?,16,32,64,128,B
105,Ngôn ngữ Python thuộc loại?,Biên dịch,Thông dịch,Lắp ráp,Markup,B
106,HTTPS dùng chuẩn mã hóa nào (phổ biến)?,AES,RSA,DES,MD5,A
107,Mạng dùng mô hình nào?,OSI,TCP/IP,Both,None,C
108,CPU viết tắt của?,Central Process Unit,Central Processing Unit,Core Processing Unit,Computer Power Unit,B
109,Châu lục có nhiều quốc gia nhất?,Châu Phi,Châu Á,Châu Âu,Châu Mỹ,B
110,Hàm số f(x)=x^2 có đạo hàm?,2x,x,0,2x+1,A
