1,Mạng WAN thường được dùng để kết nối các mạng ở phạm vi nào,Diện rộng,Cục bộ,Cá nhân,Không dây,A,easy
2,Router có chức năng chính là gì,Định tuyến gói tin,Khuếch đại tín hiệu,Chia cổng mạng,Lọc ứng dụng,A,easy
3,Địa chỉ IP dùng để thực hiện mục đích gì,Xác định thiết bị trên mạng,Mã hóa dữ liệu,Định danh người dùng,Bảo mật,A,easy
4,HTTP là giao thức thường được dùng cho dịch vụ nào,Web,Mail,File,Chat,A,easy
5,Switch giúp cải thiện điều gì trong mạng LAN,Giảm xung đột,Tăng khoảng cách,Mã hóa,Bảo mật,A,easy
6,MAC address có vai trò gì,Xác định thiết bị vật lý,Xác định người dùng,Xác định cổng dịch vụ,Xác định subnet,A,easy
7,WiFi sử dụng chuẩn phổ biến nào hiện nay,802.11,802.3,802.1Q,802.15,A,easy
8,HTTPS giúp cải thiện yếu tố nào so với HTTP,Bảo mật dữ liệu,Tốc độ truyền,Kích thước gói,Routing,A,easy
9,DNS được dùng trong quá trình nào,Phân giải tên miền,Gửi mail,Truyền file,Kiểm tra kết nối,A,easy
10,ICMP thường được dùng cho mục đích gì,Báo lỗi mạng,Gửi dữ liệu,Mã hóa,Xác thực,A,easy
11,Lệnh ping giúp người quản trị làm gì,Kiểm tra kết nối mạng,Định tuyến gói,Chia subnet,Mã hóa,A,easy
12,Địa chỉ IPv4 gồm bao nhiêu bit,32,16,64,128,A,easy
13,UDP có đặc điểm nào so với TCP,Không kết nối,Có đảm bảo thứ tự,Bảo mật cao,Luôn chính xác,A,easy
14,TCP đảm bảo điều gì trong truyền dữ liệu,Đúng thứ tự,Nhanh nhất,Ít gói,Broadcast,A,easy
15,Subnet mask dùng để làm gì,Chia mạng con,Tăng băng thông,Mã hóa,Tăng tốc,A,easy
16,Địa chỉ loopback dùng cho mục đích nào,Kiểm tra nội bộ,Kết nối internet,Gửi mail,Broadcast,A,easy
17,FTP được dùng phổ biến trong tình huống nào,Truyền file,Chat,Streaming,Routing,A,easy
18,Port là khái niệm liên quan đến yếu tố nào,Dịch vụ mạng,Địa chỉ MAC,Subnet,Tốc độ,A,easy
19,Firewall giúp bảo vệ mạng bằng cách nào,Kiểm soát lưu lượng,Tăng tốc mạng,Giảm độ trễ,Chia VLAN,A,easy
20,VPN cho phép người dùng đạt được điều gì,Kết nối an toàn từ xa,Tăng tốc LAN,Chia subnet,Tạo DNS,A,easy

21,ARP hoạt động dựa trên cơ chế nào,Ánh xạ IP sang MAC,Ánh xạ MAC sang IP,DNS,RIP,A,medium
22,NAT được sử dụng để giải quyết vấn đề gì,Thiếu địa chỉ IPv4,Tăng tốc mạng,Mã hóa,Giảm độ trễ,A,medium
23,VLAN cho phép quản trị mạng đạt được điều gì,Tách mạng logic,Giảm router,Tăng tốc,Bảo mật tuyệt đối,A,medium
24,Default gateway đóng vai trò gì trong mạng,Chuyển gói ra mạng khác,Kiểm tra kết nối,Mã hóa,Chia subnet,A,medium
25,TTL trong gói IP nhằm mục đích gì,Ngăn vòng lặp vô hạn,Tăng tốc truyền,Mã hóa,Bảo mật,A,medium
26,CSMA CD là cơ chế truy cập môi trường của công nghệ nào,Ethernet,WiFi,Bluetooth,ATM,A,medium
27,MTU liên quan trực tiếp đến yếu tố nào,Kích thước gói tin,Tốc độ mạng,Độ trễ,Bảo mật,A,medium
28,Socket được xác định bởi thành phần nào,IP và port,MAC và IP,IP và DNS,Port và MAC,A,medium
29,Well known port được dùng cho mục đích gì,Dịch vụ chuẩn,Hệ thống tạm thời,Ứng dụng riêng,Test,A,medium
30,Firewall stateful có ưu điểm gì,Theo dõi trạng thái phiên,Lọc nhanh hơn,Không cần rule,Bảo mật tuyệt đối,A,medium
31,RIP sử dụng chỉ số nào để định tuyến,Hop count,Bandwidth,Delay,Cost,A,medium
32,OSPF sử dụng thuật toán nào,Dijkstra,Bellman Ford,Flooding,A*,A,medium
33,BGP thường được triển khai trong môi trường nào,Internet toàn cầu,Mạng gia đình,Mạng nội bộ,WiFi,A,medium
34,VPN đảm bảo yếu tố nào khi truyền dữ liệu,Mã hóa an toàn,Tốc độ cao,Ít gói,Đơn giản,A,medium
35,Fragmentation xảy ra khi nào,Gói tin vượt MTU,Mạng chậm,Lỗi DNS,Lỗi switch,A,medium

36,Three way handshake của TCP gồm những bước nào,SYN SYNACK ACK,ACK FIN,SYN FIN,RST ACK,A,hard
37,SYN flood là dạng tấn công gì,Từ chối dịch vụ,Nghe lén,Tấn công DNS,Tấn công ARP,A,hard
38,ARP spoofing có thể gây ra hậu quả gì,Nghe lén lưu lượng,Tăng tốc mạng,Mã hóa,Lọc gói,A,hard
39,IPv6 không hỗ trợ loại địa chỉ nào,Broadcast,Unicast,Multicast,Anycast,A,hard
40,WPA2 sử dụng thuật toán mã hóa nào,AES,DES,RC4,WEP,A,hard
41,IDS và IPS khác nhau ở điểm nào,IPS có thể chặn tấn công,IDS chỉ phát hiện,IDS nhanh hơn,IPS thụ động,A,hard
42,SD WAN mang lại lợi ích chính nào,Quản lý tập trung,Tăng độ trễ,Giảm bảo mật,Giảm linh hoạt,A,hard
43,IPSec hoạt động chủ yếu ở tầng nào của OSI,Network,Transport,Application,DataLink,A,hard
44,Spanning Tree Protocol có vai trò gì,Ngăn loop trong mạng,Tăng băng thông,Mã hóa dữ liệu,Định tuyến,A,hard
45,Zero trust network dựa trên nguyên tắc nào,Không tin mặc định,Tin nội bộ,Tin IP,Tin subnet,A,hard
